fecha_emision,periodo_desde,periodo_hasta,dias_periodo,consumo_kwh,consumo_diario_promedio,tarifa,cargo_fijo,cargo_variable,conceptos_electricos,impuestos,ajustes_otros,saldo_anterior,total_pagado,subsidio_estado,precio_kwh_variable,inflacion_mensual_pct
25/02/2025,24/12/2024,25/02/2025,63,848,13.46,T1-R3,7394.24,43167.22,50561.46,13845.25,0,-231.29,64175.42,4080.35,50.90,2.4
25/03/2025,24/12/2024,25/02/2025,63,848,13.46,T1-R3,7940.24,45266.47,53206.71,14569.59,0,0,67776.3,922.53,53.38,3.7
24/04/2025,25/02/2025,24/04/2025,58,543,9.36,T1-R2,2104.68,27176.38,29281.06,8018.03,-520.97,0,36778.12,0,50.05,2.8
26/05/2025,25/02/2025,24/04/2025,58,543,9.36,T1-R2,2165.65,27217.17,29382.82,8045.9,0,0,37428.72,0,50.12,1.5
25/06/2025,24/04/2025,25/06/2025,62,743,11.98,T1-R2,2481.62,37545.01,40026.63,10960.49,0,0,50987.12,8277.6,50.53,1.6
24/07/2025,24/04/2025,25/06/2025,62,743,11.98,T1-R2,2584.41,38045.88,40630.29,11125.79,0,0,51756.08,9856.66,51.20,1.9
26/08/2025,25/06/2025,26/08/2025,62,1197,19.31,T1-R4,13745.47,68781,82526.47,22598.22,-908.91,0,104215.78,15171.8,57.46,1.9
24/09/2025,25/06/2025,26/08/2025,62,1197,19.31,T1-R4,14000.53,69567.14,83567.67,22883.34,0,0,106451.01,12001.43,58.12,2.1
27/10/2025,26/08/2025,27/10/2025,62,839,13.53,T1-R3,8998.67,47993.6,56992.27,15606.2,0,0,72598.47,8106.69,57.20,2.3
25/11/2025,26/08/2025,27/10/2025,62,839,13.53,T1-R3,9287.21,48287.59,57574.8,15765.71,35900.03,0,109240.54,8178.14,57.55,2.5
24/12/2025,27/10/2025,24/12/2025,58,801,13.81,T1-R3,18172.69,96272.01,114444.7,31338.4,-36299.24,0,109483.86,6693.31,120.19,2.8
26/01/2026,24/12/2025,26/01/2026,33,514,15.58,T1-R3,10670.84,64073.44,74744.28,20467.23,0,-644.78,94566.73,2221.86,124.65,2.9
24/02/2026,26/01/2026,24/02/2026,29,594,20.48,T1-R5,31771.45,84659.01,116430.46,31882.16,0,0,148312.62,386.6,142.49,2.9
